WIKICONLL	next	layer	?	?	questi tunnel funzionano tramite l' incapsulamento dei pacchetti ipv6 in pacchetti ipv4 con il campo "	next-layer	" ( protocol-type ) impostato a 41 da cui il nome di " proto-41 " .
WIKICONLL	next	generation	?	?	viene reclutata dalle truppe speciali	next-generation	e nel 2005 viene mandata a shadow moses .
WIKICONLL	next	hop	?	?	le richieste non-proxiable sono intese strettamente per il	next-hop	peer , e non vengono mai inoltrate oltre .
WIKICONLL	next	generation	?	?	il sistema ngscb (	next-generation	secure computing base ) , precedentemente noto con il nome di palladium e poi trasformato- si in system integrity team
WIKICONLL	next	generation	?	?	il "	next-generation	ninja gaiden project " ( " progetto per il ninja gaiden della prossima generazione " ) ha avuto inizio nel
WIKICONLL	next	gen	?	?	mostra una liberty city completamente rinnovata , la più somigliante di tutte alla reale new york , e grazie alla	next-gen	una grafica che fa sembrare l' ambiente realistico .
WIKICONLL	next	gen	?	?	nelle versione per console "	next-gen	" ( ps3 e xbox 360 ) mancano la del e l' extraliga , lege minori di hockey .
WIKICONLL	next	x	?	?	nel 1998 al gruppo si aggiungono mahavira ( voce ) , patrizia ( voce ) e	next-x	@ nctum ( tastiere ) .
WIKICONLL	next	x	?	?	la formazione cambia ulteriormente : n-ikonclast ( voce ) , xraphael ( chitarre ) , kktz ( basso ) ,	next-x	@ nctum ( tastiere ) , xenos ( batteria ) , anna ( flauto ) .
WIKICONLL	next	gen	?	?	le maggiori differenze delle versioni	next-gen	sono l' implementazione della slum dunk contest ( gara di schiacciate ) e la sfida per i tiri da tre
WIKICONLL	next	gen	?	?	rappresenta il primo gioco	next-gen	ispirato a ken il guerriero .
ITWAC	next	game	?	?	\ il paciocco sanguinario di	next-game	/ !
ITWAC	next	gen	?	?	quest' anno che dovrebbe esserci di novita boom , visto che le console schiacceranno a tavoletta con la presentazione delle	next-gen	?
ITWAC	next	gen	?	?	quest' anno che dovrebbe esserci di novita boom , visto che le console schiacceranno a tavoletta con la presentazione delle	next-gen	?
ITWAC	next	gen	?	?	2 , dragonshard , dragon empire , starcraft 2 ( perche' imho qualcosa si vedra' ) , titoli multipiattaforma dalla	next-gen	e una scarrettata di titoli vecchi e nuovi che a quest' ora con tutto st ' alcool in corpo non
ITWAC	next	game	?	?	\ il paciocco sanguinario di	next-game	/ !
ITWAC	next	hop	?	?	destination è l' indirizzo del sistema target ; gateway è l' indirizzo del	next-hop	router ; iface indica il nome dell' interfaccia locale , attraverso la quale vengono spediti i pacchetti .
ITWAC	next	generation	?	?	di xbox e gamecube , meno di cinque dall' esordio di playstation 2 che già si parla delle piattaforme "	next-generation	" .
ITWAC	next	gen	?	?	un game cube con resident evil 4 ( veramente !!!! ) poi quando vedrò qualcosa di bello sulle console di	next-gen	vedrò come orientarmi !
ITWAC	next	gen	?	?	la nuova x-box 360 inviato da : buzz il jul 16 2005 , 12:21 am a sto punto aspetta la	next-gen	inviato da : sakind il jul 16 2005 , 08:36 am quote ( darkpampa @ jul 16 2005 , 01:01
ITWAC	next	gen	?	?	motore di gioco completamente nuovo creato per trarre il maggiore vantaggio dalle tecnologie offerte dalle console della	next-gen	.
ITWAC	next	game	?	?	\ il paciocco sanguinario di	next-game	/ !
ITWAC	next	game	?	?	\ il paciocco sanguinario di	next-game	/ !
ITWAC	next	game	?	?	\ il paciocco sanguinario di	next-game	/ !
ITWAC	next	hop	?	?	quando ti collegherai al provider , pppd imposterà il gateway di default assegnato dal tuo provider , ovvero il tuo	next-hop	, e dovresti riuscire a navigare normalmente .
ITWAC	next	age	?	?	che ognuno di noi dovrebbe fare per comprendere e comprendersi non ha nulla a che vedere con la new-age ,	next-age	etc ...
ITWAC	next	history	?	?		next-history	( c-n ) prende il successivo comando dalla lista della storia , spostandosi avanti nella lista .
