NOUN	WIKICONLL	ITWAC	REPUBBLICA
fazione	3	56	31
industriale	0	0	43
impressionismo	26	41	27
terrorismo	0	2	19
maoista	0	1	4
antico	0	0	2
esistenza	0	3	1
mortem	52	11	51
concilio	8	129	15
cubista	0	0	5
rivoluzione	5	20	7
gara	8	35	4
elettorale	0	0	20
terremoto	10	0	174
gadget	0	0	1
emergenza	9	83	1
repubblica	0	0	2
elezioni	1	36	13
punk	110	0	22
modern	14	0	65
kippur	0	0	1
modernità	7	305	29
evasione	0	0	1
seveso	0	0	1
vittorio	0	0	1
brecht	0	0	2
franchismo	1	12	15
greca	0	0	1
sessantotto	2	1	14
campionato	2	6	5
gollismo	0	2	2
intervento	6	66	5
seduzione	0	0	1
natta	0	0	4
pentitismo	0	0	1
scriptum	2	45	28
femministe	0	4	5
materiali	0	0	1
terrorista	0	0	1
voto	0	22	8
referendum	0	28	17
bruxelles	0	0	1
p	0	0	2
combustione	4	50	2
pillola	0	6	1
materialismo	7	7	1
pensionamento	0	1	1
industria	0	2	1
malati	0	0	1
storia	0	16	1
stalin	1	0	6
industrialismo	0	8	1
moderno	1	0	21
elaborazioni	0	0	3
breznevismo	0	0	1
sincronizzazione	2	17	2
socialisti	0	3	6
operatori	9	81	11
marxismo	1	2	1
living	0	0	1
fascista	5	163	18
produzione	200	706	56
atomica	0	0	1
femminismo	3	13	22
argentina	0	0	1
modernista	1	3	2
dramma	0	0	1
obbligo	0	258	2
diploma	6	953	14
romanticismo	1	5	3
espressionismo	0	1	5
kitsch	0	0	1
creazione	0	0	2
natalizio	0	0	3
pop	3	5	5
natale	0	7	2
beat	0	0	1
laurea	56	0	77
ginevra	0	0	1
unità	2	1	1
operaio	0	0	3
lingotto	0	0	1
partum	28	49	11
riforma	6	42	6
socialista	0	0	5
socialismo	0	6	6
riallineamento	0	0	2
depressione	1	1	2
po	0	0	1
gotico	0	0	1
realismo	0	1	1
vietnam	1	0	5
maoismo	0	0	9
rossore	0	0	4
berlinguer	0	0	1
mondiali	0	0	8
stalinismo	1	4	7
crisi	66	17	7
impressionisti	11	20	18
hippies	0	1	5
indipendenza	11	10	1
risorgimento	0	2	4
chernobyl	0	0	2
sedan	0	0	1
comunismo	8	96	279
match	8	3	2
sartre	0	0	1
testi	0	0	1
modernismo	7	98	21
garantismo	0	0	1
fazioni	1	0	4
colpo	0	0	1
movement	0	0	1
reykjavik	0	0	1
parto	9	66	11
pensionati	0	0	1
teatro	0	0	1
parole	0	0	1
fascisti	3	109	76
khomeini	0	0	4
simbolismo	0	4	1
litteram	0	0	3
industriali	0	0	10
terre	0	0	1
mundial	0	1	1
liberazione	2	3	5
calamità	0	11	1
yuppie	0	3	5
giovanni	0	0	1
illuminismo	0	0	1
operazione	2	7	1
golpe	0	0	1
aids	0	0	3
trapianto	3	81	2
déco	0	0	1
yalta	0	0	1
ann	0	0	1
iran	0	0	1
cura	0	1	2
impressionista	2	1	7
conservatorio	0	0	1
tutto	0	0	5
opzione	0	0	1
adorno	0	0	1
esame	0	15	1
strutturalismo	19	59	5
dorotei	0	0	2
macbeth	0	0	1
strauss	0	0	2
rinascimento	0	0	3
thatcherismo	0	0	4
divismo	0	0	2
ferragosto	0	5	5
modernisti	0	8	4
messico	0	0	1
congresso	0	6	3
boom	1	10	4
tridentino	2	0	4
raggruppamento	0	0	2
pavese	0	0	1
filosofie	0	0	1
politico	0	0	1
università	0	17	1
finanziaria	0	0	3
barocco	0	0	1
cancro	0	6	1
fascismo	6	38	37
reagan	0	0	2
democristiani	0	19	15
partita	10	46	10
sex	0	1	1
espressionisti	0	1	1
tema	0	0	1
platini	0	0	1
reaganismo	0	1	5
futurista	0	0	3
vendita	9	493	11
minimalismo	2	14	1
hamlet	0	0	2
elaborazione	9	16	1
femminista	1	23	10
commissariamento	0	4	1
catastrofe	1	15	7
mezzanotte	0	3	1
ferie	0	0	3
colera	0	0	1
meccanico	0	0	1
it	24	346	13
zambia	0	0	1
scuola	0	109	1
crack	0	1	1
avanguardia	2	14	8
boicottaggio	0	0	1
crollo	0	3	1
baudo	0	0	4
energia	0	0	1
finale	0	4	1
disastro	3	8	1
dibattito	0	1	1
mondiale	1	0	12
libreria	0	0	2
corea	0	0	1
domani	0	0	1
derby	0	12	7
verdi	0	0	1
macchiaioli	4	2	2
acid	0	0	1
crac	0	0	3
de	0	0	2
marxista	1	0	3
quello	0	0	1
rococò	0	0	1
comunista	0	51	75
beatles	1	0	2
show	0	2	1
oscar	0	0	8
concerto	0	21	1
franchista	0	19	1
malattia	0	1	1
comunisti	10	157	122
operai	0	0	1
doc	5	310	1
totalitarismo	1	2	4
perestrojka	0	5	8
arrampicatore	0	0	1
pappa	0	0	1
moderni	1	0	1
duce	0	0	2
hofmannsthal	0	0	1
aborto	0	3	1
capitalismo	0	16	3
bruciatori	2	6	2
dadaista	0	4	1
ermetismo	1	10	1
bomba	0	0	1
mucillagine	0	0	1
vacanze	0	15	4
nazisti	0	2	2
divorzio	0	8	5
avanguardie	0	2	1
lisbona	0	0	1
accademia	1	0	1
cl	0	0	1
liberalizzazione	0	0	2
strage	0	0	1
coloniale	0	0	6
movimento	0	0	1
guerra	22	120	24
matrimonio	0	4	2
verismo	0	0	1
cubismo	3	1	4
sorteggio	0	0	1
rock	110	571	1
art	0	0	1
nobel	0	0	1
presente	0	0	1
rapimento	0	0	1
bruciatore	4	7	1
boniperti	0	0	1
raccolta	0	62	3
thatcher	1	0	6
comuniste	0	0	2
vittoria	0	3	6
pasquale	0	0	2
lirico	0	0	1
frana	0	0	1
opera	0	2	1
ristrutturazione	0	1	1
nazista	0	0	1
nazionale	0	1	1
carcere	0	3	1
sanatoria	0	1	1
operaia	0	1	1
coetanei	0	0	1
costituente	0	0	1
universitario	1	0	1
rivoluzionario	2	0	4
apocalisse	0	11	1
freni	0	0	1
contestazione	0	5	1
khomeinista	0	0	3
democrazia	0	16	2
hegelismo	0	0	1
abc	0	0	2
guerriglia	0	0	1
penitenziario	0	0	1
chiusura	0	61	1
pci	0	0	3
occupazione	1	6	7
strutturalisti	5	1	1
marx	0	0	1
invasione	1	4	1
taylorismo	0	1	1
romantico	1	2	1
paternità	0	0	1
shevardnadze	0	0	1
office	0	0	4
natalizi	0	0	4
filosofia	3	2	1
filosofo	0	0	1
occupazioni	0	0	1
riunificazione	2	4	2
separazione	1	5	2
discoteca	0	3	6
cage	0	0	2
infortunio	0	8	2
giugno	0	0	1
ottomano	0	0	1
eduardo	0	0	1
consultazione	0	0	1
new	1	0	2
marcinkus	0	0	1
eruzione	0	0	1
world	0	0	1
cernobbio	0	0	1
karajan	0	0	1
resistenza	0	1	1
anni	3	4	1
cosa	0	0	1
apartheid	10	3	9
universitari	4	445	5
universitaria	0	0	2
televisione	0	3	1
liedholm	0	0	1
trans	0	0	1
fusione	0	22	14
secondario	0	27	3
insediamento	0	4	1
alluvioni	0	1	1
scrutinio	0	2	1
post	0	12	2
recessione	0	1	4
ballo	0	1	1
marxisti	0	0	1
urss	1	0	1
maturità	1	12	3
riassetto	0	0	1
gardini	0	0	3
federico	0	0	2
solidarnosc	0	0	2
liquidazione	0	1	2
datazione	1	2	1
cristianesimo	0	9	1
scià	0	0	1
concessioni	0	0	1
jugoslavia	0	0	3
cristiani	0	4	1
dada	0	0	1
sessantottino	0	11	2
olimpiadi	0	2	2
razzismo	0	0	1
sessantottini	0	12	2
lorenz	0	0	1
salisburgo	0	0	1
tangentopoli	0	15	35
corruzione	0	0	1
surrealisti	0	0	1
baresi	0	0	2
partitocrazia	0	1	2
patto	0	0	1
human	0	34	3
imperiale	0	0	4
sovietica	4	0	6
aperitivi	0	0	1
