NOUN	REPUBBLICA	WIKICONLL	ITWAC
volta	2140	21	0
sala	5	0	0
riunione	40	0	1
traduzione	6	1	0
sentenza	9	0	0
tappa	43	0	0
conferenza	21	0	0
scena	12	0	0
battute	3	0	0
bomba	5	0	0
fase	106	11	0
giornata	58	0	0
edizione	69	1	0
priorità	2	0	0
infanzia	9	0	0
metà	166	0	0
rappresentazione	12	7	0
rottura	2	0	0
versione	34	4	0
guerra	141	3	0
commissione	28	0	0
mossa	21	0	0
occupazione	3	1	0
biografia	2	0	0
votazione	12	0	0
squadra	40	1	0
gara	17	0	0
telefonata	11	0	0
vacanza	4	0	0
età	3	1	0
donna	32	0	0
stagione	14	0	0
apparizione	31	1	0
domanda	17	0	0
mezz	21	0	0
richiesta	13	0	0
azienda	10	0	0
regione	3	0	0
operazione	11	0	0
carica	3	0	0
valutazione	2	0	0
udienza	32	0	0
lingua	2	0	0
manifestazione	10	0	0
vita	1	0	0
rivoluzione	7	0	0
fortuna	1	0	0
mattinata	9	0	0
esecuzione	12	2	0
applicazione	3	1	0
applicazioni	1	0	0
sera	11	1	0
serata	40	1	0
divisione	8	0	0
occasione	78	0	0
notte	35	2	0
abitazione	5	0	0
salita	3	0	0
moglie	39	2	0
causa	10	0	0
domenica	15	30	0
lettera	12	0	0
scadenza	5	0	0
pagina	112	0	0
visita	39	1	0
crisi	12	0	0
colazione	23	0	0
cura	2	0	0
spinta	2	0	0
manche	25	0	0
settimana	46	0	0
raccolta	3	0	0
stesura	11	0	2
cattedra	7	0	0
scelta	8	1	0
casa	50	2	0
previsione	1	0	0
preoccupazione	6	0	0
esperienza	31	1	0
quindicina	7	0	0
rete	45	2	0
signora	6	0	0
persona	11	0	0
pietra	22	1	0
tournée	35	0	0
stazione	7	0	0
automobile	3	0	0
partecipazione	3	0	0
mano	4	0	0
invasione	1	0	0
verità	3	0	0
permanenza	1	0	0
tentazione	3	0	0
fila	27	0	0
puntata	62	0	0
trasferta	6	0	0
novità	4	0	0
repubblica	45	3	0
inchiesta	7	0	0
sezione	65	1	0
reazione	12	0	0
ondata	15	2	0
società	10	0	0
voce	6	0	0
riforma	3	0	0
indagine	3	0	1
generazione	12	0	0
forza	3	0	0
vittima	27	0	0
opera	10	0	0
carta	4	0	0
banca	26	0	0
palla	13	0	0
classe	11	0	0
osservazione	2	2	0
imprese	1	0	0
conclusione	3	0	0
riduzione	1	1	0
idea	6	0	0
pièce	5	0	0
ribellione	3	0	0
produzione	3	1	0
citazione	1	0	0
anno	1	1	0
ispirazione	2	0	0
campagna	9	0	0
vittoria	39	1	0
legione	1	0	0
intervista	24	0	0
assemblea	6	0	0
attrice	1	1	0
città	12	0	0
sensazione	3	0	0
responsabilità	2	0	0
comunione	21	0	0
bozza	6	1	0
pubblicazione	4	0	0
lettura	8	0	0
esibizione	6	0	0
parola	4	0	1
condizione	6	0	0
convocazione	7	0	0
categoria	4	0	0
regata	5	0	0
immagine	3	0	0
first	5	0	0
trasmissione	1	0	0
potenza	26	0	0
esplosione	4	0	0
rivista	3	0	0
risoluzione	2	0	0
autobiografia	1	0	0
cena	3	0	0
mattina	3	0	0
linea	21	1	1
azione	7	0	0
ripresa	6	0	0
nascita	2	0	0
polemica	2	0	0
industria	2	0	0
canzone	11	0	0
pressione	1	0	0
quota	1	0	0
figlia	6	1	0
attività	4	0	0
dichiarazione	9	0	0
maglia	3	1	0
giovinezza	6	0	0
bellezza	1	0	0
storia	4	0	0
rissa	1	0	0
delusione	2	0	0
frazione	7	0	0
discussione	1	0	0
periferia	6	0	0
pagine	12	0	0
medaglia	4	0	0
battaglia	4	2	0
associazione	2	0	0
decisione	7	0	0
differenza	1	0	0
fonte	4	0	0
coppa	3	1	0
regia	9	0	0
risposta	6	0	0
foto	1	0	0
tranche	21	0	0
approvazione	3	0	0
verifica	2	0	0
costituzione	2	1	0
scuola	2	0	0
semifinale	6	0	0
avvocato	1	0	0
i	1	0	0
contraddizione	1	0	0
pioggia	2	0	0
riflessione	2	0	0
eroina	1	0	0
avventura	4	0	0
selezione	2	0	0
stanza	2	0	0
coppia	5	0	0
sfida	4	0	0
poesia	2	0	0
barca	7	0	0
proiezione	4	0	0
amministrazione	1	0	0
impressione	15	0	0
sperimentazione	2	0	0
situazione	1	0	0
religione	1	0	0
base	4	1	0
adolescenza	4	0	0
compagnia	4	0	0
questione	1	0	0
affermazione	2	0	0
cessione	1	0	0
film	1	0	0
immagini	1	0	0
macchina	5	0	0
visione	3	0	0
facoltà	2	0	0
emergenza	5	0	0
operatività	1	0	0
posizione	13	3	0
possibilità	2	0	0
missione	8	0	0
logica	1	0	0
passo	2	0	0
qualità	2	0	0
onda	1	0	0
impresa	3	0	0
legislazione	1	0	0
maturità	3	0	0
fondazione	1	0	0
sinfonia	3	1	0
realizzazione	3	0	0
colonia	3	0	0
ore	1	0	0
enciclica	5	0	0
lista	1	0	0
trasformazione	2	4	0
ballerina	5	0	0
registrazione	1	0	0
agenzia	2	0	0
tempo	1	1	0
de	1	0	0
fascia	6	2	0
calata	1	0	0
gomma	3	0	0
soluzione	5	1	0
fuga	2	0	0
sessione	4	0	1
architettura	1	0	0
cliente	1	0	0
tragedia	2	0	0
difficoltà	7	0	0
unità	2	0	0
contrarietà	2	0	0
chiesa	1	4	0
umiliazione	2	0	0
celebrazione	1	0	0
commedia	6	0	0
grazie	3	0	0
liquidazione	1	0	0
cultura	1	0	0
notizia	2	0	0
strada	2	0	0
struttura	1	1	0
distribuzione	1	1	0
perdita	1	0	0
accoglienza	4	1	0
direzione	1	0	0
presentazione	3	0	0
esigenza	1	0	0
corsa	4	1	0
interpretazione	1	0	0
accelerazione	1	0	0
collaborazione	1	1	0
istituzione	1	0	0
borsa	2	0	0
fasi	1	1	0
testata	1	0	0
lezione	6	0	0
dose	1	0	0
ragazza	2	0	0
crescita	1	0	0
relazione	2	0	0
menzogna	1	0	0
divisa	1	0	0
sede	1	0	0
intesa	1	0	0
immatricolazione	2	0	0
iniziative	1	0	0
principessa	2	0	0
colonna	1	0	0
formazione	2	0	0
resistenza	1	1	0
confidenza	1	0	0
ricerca	1	0	0
soddisfazione	2	0	0
vicinanza	1	0	0
esposizione	2	0	0
espulsione	1	0	0
spiegazione	1	0	0
punta	2	0	0
musica	1	0	0
unione	1	0	0
dati	1	0	0
alleanza	2	0	0
forma	5	1	0
interruzione	1	1	0
via	2	0	0
organizzazione	2	1	0
intenzione	3	0	0
elezione	2	0	0
vendita	1	0	0
violenza	1	0	0
aggressione	1	0	0
bancarotta	1	0	0
assistenza	1	0	0
spesa	1	0	0
nave	1	0	0
amica	2	0	0
teoria	1	1	0
possibile	1	0	0
testa	1	0	0
ragione	1	0	0
cose	1	0	0
cittadina	1	0	0
firma	1	0	0
creazione	4	0	0
sostituzione	3	0	0
giacca	1	0	0
droga	1	0	0
presidente	1	0	0
speranza	1	0	0
origine	1	0	0
famiglia	2	0	0
competizione	1	0	0
gestione	2	0	0
rispetto	1	0	0
strategia	1	0	0
identità	1	0	0
opportunità	2	0	0
fiducia	1	0	0
discesa	1	0	0
area	1	0	0
contestazione	2	0	0
ammissione	1	0	0
multa	2	0	0
variabile	1	0	0
conseguenza	1	0	0
notizie	1	0	0
apertura	1	0	0
oggetto	1	0	0
festa	2	0	0
esclusione	1	0	0
privatizzazione	1	0	0
amichevole	1	0	0
espressione	2	0	0
presenza	1	0	0
sopravvivenza	1	0	0
ricorrenza	1	0	0
motivazione	1	0	0
certezza	1	0	0
femmina	1	0	0
parte	0	19	0
residenza	0	1	0
capitale	0	8	0
guida	0	1	0
qualificazione	0	1	0
opere	0	1	0
protezione	0	1	0
distruzione	0	2	0
numero	0	6	0
commedie	0	1	0
descrizione	0	1	0
ipotesi	0	1	0
annata	0	3	0
hit	0	7	0
promozione	0	3	0
connotazione	0	1	0
poesie	0	1	0
espansione	0	2	0
strutture	0	1	0
serie	0	3	0
carte	0	1	0
lavoro	0	1	0
sconfitta	0	4	0
guerre	0	1	0
iniziativa	0	1	0
definizione	0	1	0
conoscenza	0	1	0
occasioni	0	1	0
anni	0	1	0
uscita	0	1	0
navi	0	1	0
cavaliere	0	1	0
variazioni	0	1	0
accettazione	0	1	0
gare	0	2	0
dramma	0	1	0
pista	0	1	0
decisioni	0	1	0
volte	0	1	0
concessione	0	1	0
offensiva	0	1	0
zona	0	1	0
