NOUN	WIKICONLL	REPUBBLICA	ITWAC
autonomia	6	1	11
onda	2	2	0
industriale	0	1	0
trattativa	0	2	0
libertà	3	53	50
isolamento	1	5	10
clandestinità	8	18	23
libero	0	2	0
documentario	0	2	4
professionista	4	5	13
monopolio	0	12	9
privatizzazione	0	14	4
libera	0	2	0
eroi	0	1	1
fantasy	0	1	0
infermità	3	21	9
stagnazione	0	1	2
immunità	5	1	1
fiction	0	1	0
dilettanti	0	1	0
rigidità	0	1	0
paralisi	0	15	11
oscurità	2	8	29
conduttori	5	9	8
liberi	0	5	0
recluso	0	3	0
nomadi	19	4	6
abbandono	14	3	40
federalismo	0	2	1
professionisti	10	2	45
tranquillità	0	1	1
dei	1	2	17
disgrazia	1	1	0
corruzione	0	1	0
verità	0	1	1
confessione	0	1	6
esterni	0	1	0
prigioniero	0	2	0
detenzione	0	3	9
ciechi	0	1	2
vertice	0	3	0
incoscienza	6	13	39
analfabetismo	0	1	14
rimorchi	1	3	12
poveri	0	1	1
innocenza	0	1	0
collina	0	1	0
dirigenza	0	4	0
anarchia	2	3	6
guarigione	0	1	0
grandi	0	1	0
automatica	1	4	9
sconosciuto	1	4	0
emergenza	0	2	1
scissione	0	2	0
alleanza	0	1	0
colpi	0	1	0
privato	0	1	1
parroci	0	1	0
deserto	3	5	5
pensionato	0	1	0
cuore	0	1	0
progressista	0	1	0
uomo	0	1	0
indipendenza	13	7	10
lavoro	0	2	1
buio	0	1	0
assoluzione	0	2	0
evasione	0	1	0
reclusione	1	1	0
schiavi	2	1	1
volontariato	0	1	0
nudo	2	2	0
autogestione	0	1	1
pro	9	2	0
liquidazione	0	1	0
indigenza	0	2	3
esilio	2	1	0
vip	0	2	12
eroe	0	1	1
sommergibili	0	1	0
esonero	0	1	24
centro	0	4	2
democrazia	0	3	1
libere	1	6	0
clandestino	0	3	1
indifferenza	0	1	4
italiano	0	1	0
periferia	3	2	7
urbani	0	1	0
coma	1	4	1
ritiro	7	2	3
crollo	0	3	0
gran	0	5	0
pieno	0	2	0
vuoto	0	2	8
holding	0	1	0
grand	0	1	0
analfabeti	0	3	17
divinità	12	3	12
nuovo	0	1	1
sketch	0	1	0
novità	0	2	0
aperto	1	2	0
fallimento	0	3	4
allucinazione	0	1	0
onde	0	1	0
primavera	0	1	0
processi	0	1	0
crack	0	1	0
normalità	0	1	2
diretta	0	2	0
immobilità	0	4	1
comuni	0	1	0
presidenzialismo	3	71	57
abbraccio	0	1	0
crisi	0	3	2
infortunio	0	1	0
clandestine	0	5	0
automatiche	1	1	6
opaco	0	1	0
assedio	0	1	0
utilitaria	0	2	0
promessa	0	2	0
astratto	0	1	0
presidenza	0	1	0
privata	0	1	0
recessione	0	4	1
analfabeta	2	2	14
presidenziale	0	4	0
impotenza	0	3	0
