NOUN	REPUBBLICA	WIKICONLL	ITWAC
familiari	1	0	0
bisogno	3	0	0
smentita	1	0	6
verso	1	0	0
candidato	2	0	0
limiti	1	0	0
portatori	1	0	0
centrale	1	0	0
oggi	4	0	0
contratto	1	0	0
appannaggio	1	0	0
ragazza	1	1	11
morti	5	0	5
vicini	1	0	0
retta	1	0	0
film	1	0	0
domande	1	0	0
protagonista	1	0	0
episodio	0	1	0
fatti	0	1	0
visto	0	0	40
vita	0	0	24
vista	0	0	23
prodotto	0	0	4
posto	0	0	1
norme	0	0	3
giacca	0	0	4
parrocchia	0	0	1
viste	0	0	13
famiglia	0	0	5
casa	0	0	2
rinnegato	0	0	1
idea	0	0	2
eroina	0	0	1
compianto	0	0	1
affare	0	0	5
stanza	0	0	2
anima	0	0	4
accademia	0	0	2
banale	0	0	3
squadra	0	0	3
esperienza	0	0	1
mente	0	0	3
soluzione	0	0	1
parte	0	0	2
mani	0	0	1
libertà	0	0	2
scelta	0	0	2
amica	0	0	2
coppia	0	0	1
canzone	0	0	1
città	0	0	2
infanzia	0	0	1
imposte	0	0	4
capitale	0	0	1
tesi	0	0	1
visione	0	0	2
preoccupazione	0	0	1
regione	0	0	1
persona	0	0	1
partito	0	0	1
richiesta	0	0	1
rabbia	0	0	1
macchina	0	0	1
specie	0	0	1
classifica	0	0	1
incompatibilità	0	0	1
religione	0	0	2
conoscenza	0	0	1
fumatori	0	0	3
fumatrici	0	0	2
fede	0	0	1
riforma	0	0	1
foto	0	0	1
amati	0	0	1
istruzioni	0	0	1
presentazione	0	0	1
nascita	0	0	1
coscienza	0	0	1
assenza	0	0	1
lingua	0	0	1
strumento	0	0	1
gente	0	0	1
linea	0	0	1
rimpianto	0	0	1
mail	0	0	1
comprensione	0	0	1
amministrazione	0	0	1
pazienza	0	0	1
lista	0	0	1
storia	0	0	1
metà	0	0	1
scomparsa	0	0	1
testa	0	0	1
prodotti	0	0	1
