NOUN	REPUBBLICA	WIKICONLL	ITWAC
reato	1	0	0
straordinarie	1	0	0
oggi	4	2	0
i	1	0	0
più	12	0	0
sabato	1	0	0
segreto	1	0	0
maggiore	1	0	0
moderati	1	0	0
peggiore	5	0	0
richiesta	1	0	0
decine	1	0	0
valore	1	0	0
mistero	1	0	0
caldi	1	0	0
modifiche	1	0	0
appartenenti	1	0	0
richieste	1	0	0
tempo	1	0	0
ministro	1	0	1
numero	1	0	1
desiderio	1	0	0
sacchi	1	0	0
studente	1	0	0
studentesse	1	0	0
pagg.	3	0	0
presidente	1	0	1
sindaco	1	0	1
possibile	1	0	0
ignoto	0	1	5
bambina	0	1	1
inedito	0	2	2
diritto	0	1	0
divise	0	1	0
funzioni	0	1	0
caso	0	1	0
vincitori	0	1	0
governatore	0	1	0
tratte	0	1	0
forma	0	1	0
vergine	0	1	1
bambino	0	0	5
memoria	0	0	14
diciannovenne	0	0	2
giovani	0	0	6
unione	0	0	2
buio	0	0	2
anteriore	0	0	5
selvaggi	0	0	1
problemi	0	0	2
clienti	0	0	1
adolescente	0	0	1
esistenza	0	0	1
cardinale	0	0	4
duello	0	0	1
costanza	0	0	3
comandante	0	0	1
tensione	0	0	2
tipo	0	0	2
divisa	0	0	1
retta	0	0	1
monopolista	0	0	2
corrente	0	0	3
collegio	0	0	1
cooperazione	0	0	1
bambini	0	0	2
teatro	0	0	1
polemiche	0	0	1
srl	0	0	1
tel.	0	0	1
quattordicenne	0	0	1
verde	0	0	1
figli	0	0	1
santa	0	0	1
parola	0	0	1
riforma	0	0	1
procuratore	0	0	1
edizione	0	0	1
protagonista	0	0	1
nunzio	0	0	1
commissario	0	0	1
gestore	0	0	1
ragazzino	0	0	1
sottotenente	0	0	1
centinaia	0	0	1
semi	0	0	1
sedicenne	0	0	1
chance	0	0	1
meglio	1	0	0
peggiori	1	0	0
giovane	0	0	9
potenti	0	0	2
attesa	0	0	1
utili	0	0	1
link	0	0	2
