NOUN	WIKICONLL	REPUBBLICA	ITWAC
nuovo	0	5	0
milan	0	1	0
giovane	0	5	2
de	0	1	0
bambino	0	1	6
credenti	0	2	0
stile	1	5	11
falso	0	1	0
contadino	0	1	0
credente	0	1	0
stampo	0	1	2
vecchio	0	1	1
sosa	0	1	0
benetton	0	10	0
palazzo	0	1	0
nuova	0	4	0
la	0	1	0
fanciullo	0	1	0
salviati	2	0	0
sole	1	0	0
inzaghi	0	0	2
ora	0	0	1
uomo	0	0	1
ultras	0	0	1
cattolici	0	0	2
nome	0	0	1
valore	0	0	1
ragazzo	0	0	1
osteria	0	0	1
amico	0	0	1
tempo	0	0	1
babilonese	0	0	2
architetto	0	0	2
giovani	0	6	1
vecchi	0	1	0
utenti	0	0	4
amici	0	0	1
bambini	0	0	4
romano	0	6	0
fabbrica	0	1	0
bambina	0	3	2
mostro	0	1	0
maniera	0	3	8
vampiro	0	1	0
città	1	0	0
chiesa	0	0	1
vecchia	0	0	1
ala	0	0	2
spirito	0	0	1
energia	0	0	1
scuola	0	0	1
