NOUN	WIKICONLL	REPUBBLICA	ITWAC
fazione	3	31	56
industriale	0	43	0
impressionismo	26	27	41
terrorismo	0	19	2
maoista	0	4	1
antico	0	2	0
esistenza	0	1	3
mortem	52	51	11
concilio	8	15	129
cubista	0	5	0
rivoluzione	5	7	20
gara	8	4	35
elettorale	0	20	0
terremoto	10	174	0
gadget	0	1	0
emergenza	9	1	83
repubblica	0	2	0
elezioni	1	13	36
punk	110	22	0
modern	14	65	0
kippur	0	1	0
modernità	7	29	305
evasione	0	1	0
seveso	0	1	0
vittorio	0	1	0
brecht	0	2	0
franchismo	1	15	12
greca	0	1	0
sessantotto	2	14	1
campionato	2	5	6
gollismo	0	2	2
intervento	6	5	66
seduzione	0	1	0
natta	0	4	0
pentitismo	0	1	0
scriptum	2	28	45
femministe	0	5	4
materiali	0	1	0
terrorista	0	1	0
voto	0	8	22
referendum	0	17	28
bruxelles	0	1	0
p	0	2	0
combustione	4	2	50
pillola	0	1	6
materialismo	7	1	7
pensionamento	0	1	1
industria	0	1	2
malati	0	1	0
storia	0	1	16
stalin	1	6	0
industrialismo	0	1	8
moderno	1	21	0
elaborazioni	0	3	0
breznevismo	0	1	0
sincronizzazione	2	2	17
socialisti	0	6	3
operatori	9	11	81
marxismo	1	1	2
living	0	1	0
fascista	5	18	163
produzione	200	56	706
atomica	0	1	0
femminismo	3	22	13
argentina	0	1	0
modernista	1	2	3
dramma	0	1	0
obbligo	0	2	258
diploma	6	14	953
romanticismo	1	3	5
espressionismo	0	5	1
kitsch	0	1	0
creazione	0	2	0
natalizio	0	3	0
pop	3	5	5
natale	0	2	7
beat	0	1	0
laurea	56	77	0
ginevra	0	1	0
unità	2	1	1
operaio	0	3	0
lingotto	0	1	0
partum	28	11	49
riforma	6	6	42
socialista	0	5	0
socialismo	0	6	6
riallineamento	0	2	0
depressione	1	2	1
po	0	1	0
gotico	0	1	0
realismo	0	1	1
vietnam	1	5	0
maoismo	0	9	0
rossore	0	4	0
berlinguer	0	1	0
mondiali	0	8	0
stalinismo	1	7	4
crisi	66	7	17
impressionisti	11	18	20
hippies	0	5	1
indipendenza	11	1	10
risorgimento	0	4	2
chernobyl	0	2	0
sedan	0	1	0
comunismo	8	279	96
match	8	2	3
sartre	0	1	0
testi	0	1	0
modernismo	7	21	98
garantismo	0	1	0
fazioni	1	4	0
colpo	0	1	0
movement	0	1	0
reykjavik	0	1	0
parto	9	11	66
pensionati	0	1	0
teatro	0	1	0
parole	0	1	0
fascisti	3	76	109
khomeini	0	4	0
simbolismo	0	1	4
litteram	0	3	0
industriali	0	10	0
terre	0	1	0
mundial	0	1	1
liberazione	2	5	3
calamità	0	1	11
yuppie	0	5	3
giovanni	0	1	0
illuminismo	0	1	0
operazione	2	1	7
golpe	0	1	0
aids	0	3	0
trapianto	3	2	81
déco	0	1	0
yalta	0	1	0
ann	0	1	0
iran	0	1	0
cura	0	2	1
impressionista	2	7	1
conservatorio	0	1	0
tutto	0	5	0
opzione	0	1	0
adorno	0	1	0
esame	0	1	15
strutturalismo	19	5	59
dorotei	0	2	0
macbeth	0	1	0
strauss	0	2	0
rinascimento	0	3	0
thatcherismo	0	4	0
divismo	0	2	0
ferragosto	0	5	5
modernisti	0	4	8
messico	0	1	0
congresso	0	3	6
boom	1	4	10
tridentino	2	4	0
raggruppamento	0	2	0
pavese	0	1	0
filosofie	0	1	0
politico	0	1	0
università	0	1	17
finanziaria	0	3	0
barocco	0	1	0
cancro	0	1	6
fascismo	6	37	38
reagan	0	2	0
democristiani	0	15	19
partita	10	10	46
sex	0	1	1
espressionisti	0	1	1
tema	0	1	0
platini	0	1	0
reaganismo	0	5	1
futurista	0	3	0
vendita	9	11	493
minimalismo	2	1	14
hamlet	0	2	0
elaborazione	9	1	16
femminista	1	10	23
commissariamento	0	1	4
catastrofe	1	7	15
mezzanotte	0	1	3
ferie	0	3	0
colera	0	1	0
meccanico	0	1	0
it	24	13	346
zambia	0	1	0
scuola	0	1	109
crack	0	1	1
avanguardia	2	8	14
boicottaggio	0	1	0
crollo	0	1	3
baudo	0	4	0
energia	0	1	0
finale	0	1	4
disastro	3	1	8
dibattito	0	1	1
mondiale	1	12	0
libreria	0	2	0
corea	0	1	0
domani	0	1	0
derby	0	7	12
verdi	0	1	0
macchiaioli	4	2	2
acid	0	1	0
crac	0	3	0
de	0	2	0
marxista	1	3	0
quello	0	1	0
rococò	0	1	0
comunista	0	75	51
beatles	1	2	0
show	0	1	2
oscar	0	8	0
concerto	0	1	21
franchista	0	1	19
malattia	0	1	1
comunisti	10	122	157
operai	0	1	0
doc	5	1	310
totalitarismo	1	4	2
perestrojka	0	8	5
arrampicatore	0	1	0
pappa	0	1	0
moderni	1	1	0
duce	0	2	0
hofmannsthal	0	1	0
aborto	0	1	3
capitalismo	0	3	16
bruciatori	2	2	6
dadaista	0	1	4
ermetismo	1	1	10
bomba	0	1	0
mucillagine	0	1	0
vacanze	0	4	15
nazisti	0	2	2
divorzio	0	5	8
avanguardie	0	1	2
lisbona	0	1	0
accademia	1	1	0
cl	0	1	0
liberalizzazione	0	2	0
strage	0	1	0
coloniale	0	6	0
movimento	0	1	0
guerra	22	24	120
matrimonio	0	2	4
verismo	0	1	0
cubismo	3	4	1
sorteggio	0	1	0
rock	110	1	571
art	0	1	0
nobel	0	1	0
presente	0	1	0
rapimento	0	1	0
bruciatore	4	1	7
boniperti	0	1	0
raccolta	0	3	62
thatcher	1	6	0
comuniste	0	2	0
vittoria	0	6	3
